WORD_TOKENIZE,POS,TAG,BOUNDARY,SENTENCE
เพรา,NCMN,B-FOOD,None,Sentence: 11
หมูสับ,NCMN,I-FOOD,None,Sentence: 11
ของ,RPRE,O,None,Sentence: 11
โต๊ะ,NCMN,O,None,Sentence: 11
9,NCNM,B-TABLE,END,Sentence: 11
กะเพรา,NCMN,B-FOOD,START,Sentence: 12
หมูสับ,NCMN,I-FOOD,None,Sentence: 12
กระ,NCMN,O,None,Sentence: 12
เพรา,NCMN,O,None,Sentence: 12
หมูสับ,NCMN,O,None,Sentence: 12
เตรียม,VACT,B-COMMAND_1,None,Sentence: 12
เสร็จ,ADVN,O,None,Sentence: 12
แล้ว,XVAE,O,None,Sentence: 12
ครับ,VACT,O,None,Sentence: 12
โต๊ะ,NCMN,O,None,Sentence: 12
5,NCNM,B-TABLE,END,Sentence: 12
ขา,NCMN,B-FOOD,START,Sentence: 13
โต๊ะ,NCMN,I-FOOD,None,Sentence: 13
[TABLE]6,NCMN,I-FOOD,None,Sentence: 13
เตรียม,VACT,B-COMMAND_1,END,Sentence: 13
โต๊ะ,NCMN,O,START,Sentence: 14
6,NCNM,B-TABLE,None,Sentence: 14
เตรียม,VACT,B-COMMAND_1,None,Sentence: 14
แล้ว,XVAE,O,None,Sentence: 14
ค้าบ,VACT,O,None,Sentence: 14
กะเพรา,NCMN,B-FOOD,None,Sentence: 14
หมูสับ,NCMN,I-FOOD,END,Sentence: 14
กะเพรา,NCMN,B-FOOD,START,Sentence: 15
หมูสับ,NCMN,I-FOOD,None,Sentence: 15
ผม,PPRS,O,None,Sentence: 15
เตรียม,VACT,B-COMMAND_1,None,Sentence: 15
ไว้,XVAE,O,None,Sentence: 15
แล้ว,XVAE,O,None,Sentence: 15
นะ,ADVN,O,None,Sentence: 15
ครับ,NCMN,O,None,Sentence: 15
กะเพรา,NCMN,B-FOOD,None,Sentence: 15
หมูสับ,NCMN,I-FOOD,None,Sentence: 15
ออเดอร์,NCMN,O,None,Sentence: 15
ของ,RPRE,O,None,Sentence: 15
โต๊ะ,NCMN,O,None,Sentence: 15
6,NCNM,B-TABLE,END,Sentence: 15
เชฟ,NCMN,O,START,Sentence: 16
ขา,NCMN,O,None,Sentence: 16
กะเพรา,NCMN,B-FOOD,None,Sentence: 16
หมูสับ,NCMN,I-FOOD,None,Sentence: 16
ออเดอร์,NCMN,O,None,Sentence: 16
ของ,RPRE,O,None,Sentence: 16
โต๊ะ,NCMN,O,None,Sentence: 16
8,DCNM,B-TABLE,None,Sentence: 16
หา,VACT,O,None,Sentence: 16
หนู,NCMN,O,None,Sentence: 16
เตรียม,VACT,B-COMMAND_1,None,Sentence: 16
ให้,JSBR,O,None,Sentence: 16
แล้ว,XVAE,O,None,Sentence: 16
นะคะ,VACT,O,END,Sentence: 16
เตรียม,VACT,B-COMMAND_1,START,Sentence: 17
ไว้,XVAE,O,None,Sentence: 17
ให้,XVAE,O,None,Sentence: 17
แล้ว,ADVN,O,None,Sentence: 17
ค่ะ,VACT,O,None,Sentence: 17
กะเพรา,NCMN,B-FOOD,None,Sentence: 17
หมูสับ,NCMN,I-FOOD,None,Sentence: 17
โต๊ะ,NCMN,O,None,Sentence: 17
5,NCNM,B-TABLE,END,Sentence: 17
กะเพรา,NCMN,B-FOOD,START,Sentence: 18
หมูสับ,NCMN,I-FOOD,None,Sentence: 18
ออเดอร์,NCMN,O,None,Sentence: 18
ของ,RPRE,O,None,Sentence: 18
โต๊ะ,NCMN,O,None,Sentence: 18
6,NCNM,B-TABLE,None,Sentence: 18
ที่,PREL,O,None,Sentence: 18
3,NCNM,B-TABLE,None,Sentence: 18
เป็น,VSTA,O,None,Sentence: 18
กะเพรา,NCMN,B-FOOD,None,Sentence: 18
หมูสับ,NCMN,I-FOOD,None,Sentence: 18
หมู,NCMN,O,None,Sentence: 18
เตรียม,VACT,B-COMMAND_1,None,Sentence: 18
ไว้,XVAE,O,None,Sentence: 18
ให้,JSBR,O,None,Sentence: 18
เสร็จ,ADVN,O,None,Sentence: 18
เรียบร้อย,ADVN,O,None,Sentence: 18
แล้ว,XVAE,O,None,Sentence: 18
ค่ะ,ADVN,O,END,Sentence: 18
กะเพรา,NCMN,B-FOOD,START,Sentence: 19
หมูสับ,NCMN,I-FOOD,None,Sentence: 19
โต๊ะ,NCMN,O,None,Sentence: 19
3,NCNM,B-TABLE,None,Sentence: 19
เตรียม,VACT,B-COMMAND_1,END,Sentence: 19
[COMMAND_1],NCMN,B-FOOD,START,Sentence: 20
เตรียม,VACT,I-FOOD,None,Sentence: 20
ให้,JSBR,O,None,Sentence: 20
แล้ว,ADVN,O,None,Sentence: 20
ค่า,NCMN,O,None,Sentence: 20
เพรา,NCMN,B-FOOD,None,Sentence: 20
หมูสับ,NCMN,I-FOOD,None,Sentence: 20
ออเดอร์,NCMN,O,None,Sentence: 20
ของ,RPRE,O,None,Sentence: 20
โต๊ะ,NCMN,O,None,Sentence: 20
6,NCNM,B-TABLE,END,Sentence: 20
เพรา,NCMN,B-FOOD,START,Sentence: 21
หมูสับ,NCMN,I-FOOD,None,Sentence: 21
โต๊ะ,NCMN,O,None,Sentence: 21
6,NCNM,B-TABLE,None,Sentence: 21
โต๊ะ,NCMN,O,None,Sentence: 21
7,NCNM,B-TABLE,None,Sentence: 21
เตรียม,VACT,B-COMMAND_1,None,Sentence: 21
แล้ว,XVAE,O,None,Sentence: 21
ครับ,VACT,O,END,Sentence: 21
เตรียม,VACT,B-COMMAND_1,START,Sentence: 22
แล้ว,XVAE,O,None,Sentence: 22
ของ,RPRE,O,None,Sentence: 22
โต๊ะ,NCMN,O,None,Sentence: 22
8,DCNM,B-TABLE,None,Sentence: 22
กะเพรา,NCMN,B-FOOD,None,Sentence: 22
หมูสับ,CNIT,I-FOOD,None,Sentence: 22
ไม่,NEG,O,None,Sentence: 22
เผ็ด,VSTA,O,END,Sentence: 22
เตรียม,VACT,B-COMMAND_1,START,Sentence: 23
ให้,JSBR,O,None,Sentence: 23
แล้ว,ADVN,O,None,Sentence: 23
ครับ,VACT,O,None,Sentence: 23
เพรา,NCMN,B-FOOD,None,Sentence: 23
หมูสับ,NCMN,I-FOOD,None,Sentence: 23
โต๊ะ,NCMN,O,None,Sentence: 23
1,NCNM,B-TABLE,None,Sentence: 23
กับ,RPRE,O,None,Sentence: 23
โต๊ะ,NCMN,O,None,Sentence: 23
3,NCNM,B-TABLE,END,Sentence: 23
ผม,PPRS,B-COMMAND_1,START,Sentence: 24
[COMMAND_1],VACT,I-COMMAND_1,None,Sentence: 24
เตรียม,VACT,I-COMMAND_1,None,Sentence: 24
ให้,JSBR,O,None,Sentence: 24
แล้ว,ADVN,O,None,Sentence: 24
ครับ,VACT,O,None,Sentence: 24
เชฟ,NCMN,O,None,Sentence: 24
กะเพรา,NCMN,B-FOOD,None,Sentence: 24
หมูสับ,NCMN,I-FOOD,None,Sentence: 24
โต๊ะ,NCMN,O,None,Sentence: 24
6,NCNM,B-TABLE,END,Sentence: 24
เชฟ,NCMN,O,START,Sentence: 25
ครับ,NCMN,O,None,Sentence: 25
ผม,PPRS,B-COMMAND_1,None,Sentence: 25
[COMMAND_1],VACT,I-COMMAND_1,None,Sentence: 25
เตรียม,VACT,I-COMMAND_1,None,Sentence: 25
ให้,JSBR,O,None,Sentence: 25
แล้ว,ADVN,O,None,Sentence: 25
ครับ,VACT,O,None,Sentence: 25
เพรา,NCMN,B-FOOD,None,Sentence: 25
หมูสับ,NCMN,I-FOOD,None,Sentence: 25
โต๊ะ,NCMN,O,None,Sentence: 25
4,NCNM,B-TABLE,END,Sentence: 25
เชฟ,NCMN,O,START,Sentence: 26
ครับ,NCMN,O,None,Sentence: 26
กะเพรา,NCMN,B-FOOD,None,Sentence: 26
หมูสับ,NCMN,I-FOOD,None,Sentence: 26
โต๊ะ,NCMN,O,None,Sentence: 26
7,NCNM,B-TABLE,None,Sentence: 26
ที่,PREL,O,None,Sentence: 26
ให้,VACT,O,None,Sentence: 26
เตรียม,VACT,B-COMMAND_1,None,Sentence: 26
ผม,PPRS,O,None,Sentence: 26
เตรียม,VACT,B-COMMAND_1,None,Sentence: 26
เสร็จ,VSTA,O,None,Sentence: 26
แล้ว,XVAE,O,None,Sentence: 26
ครับ,VACT,O,END,Sentence: 26
เตรียม,VACT,B-COMMAND_1,START,Sentence: 27
เสร็จ,ADVN,O,None,Sentence: 27
แล้ว,XVAE,O,None,Sentence: 27
ครับ,VACT,O,None,Sentence: 27
กะเพรา,NCMN,B-FOOD,None,Sentence: 27
หมูสับ,NCMN,I-FOOD,None,Sentence: 27
โต๊ะ,NCMN,O,None,Sentence: 27
5,NCNM,B-TABLE,END,Sentence: 27
โต๊ะ,NCMN,O,START,Sentence: 28
5,NCNM,B-TABLE,None,Sentence: 28
ผม,PPRS,B-COMMAND_1,None,Sentence: 28
[COMMAND_1],VACT,I-COMMAND_1,None,Sentence: 28
เตรียม,VACT,I-COMMAND_1,None,Sentence: 28
เสร็จ,ADVN,O,None,Sentence: 28
แล้ว,XVAE,O,None,Sentence: 28
ครับ,VACT,O,None,Sentence: 28
กะเพรา,NCMN,B-FOOD,None,Sentence: 28
หมูสับ,NCMN,I-FOOD,END,Sentence: 28
เชฟ,NCMN,O,START,Sentence: 29
ค่ะ,NCMN,O,None,Sentence: 29
หนู,NCMN,B-COMMAND_1,None,Sentence: 29
[COMMAND_1],NCMN,I-COMMAND_1,None,Sentence: 29
เตรียม,VACT,I-COMMAND_1,None,Sentence: 29
ให้,JSBR,O,None,Sentence: 29
แล้ว,ADVN,O,None,Sentence: 29
ค่ะ,VACT,O,None,Sentence: 29
กะเพรา,NCMN,B-FOOD,None,Sentence: 29
หมูสับ,NCMN,I-FOOD,None,Sentence: 29
ออเดอร์,NCMN,O,None,Sentence: 29
ของ,RPRE,O,None,Sentence: 29
โต๊ะ,NCMN,O,None,Sentence: 29
3,NCNM,B-TABLE,END,Sentence: 29
เชฟ,NCMN,O,START,Sentence: 30
ขา,NCMN,O,None,Sentence: 30
กะเพรา,NCMN,B-FOOD,None,Sentence: 30
หมูสับ,NCMN,I-FOOD,None,Sentence: 30
โต๊ะ,NCMN,O,None,Sentence: 30
6,NCNM,B-TABLE,None,Sentence: 30
เตรียม,VACT,B-COMMAND_1,None,Sentence: 30
ให้,JSBR,O,None,Sentence: 30
เเล้ว,ADVN,O,None,Sentence: 30
ค่า,NCMN,O,END,Sentence: 30
กะเพรา,NCMN,B-FOOD,START,Sentence: 31
หมูสับ,NCMN,I-FOOD,None,Sentence: 31
โต๊ะ,NCMN,O,None,Sentence: 31
2,NCNM,B-TABLE,None,Sentence: 31
เตรียม,VACT,B-COMMAND_1,None,Sentence: 31
ให้,JSBR,O,None,Sentence: 31
แล้ว,ADVN,O,None,Sentence: 31
นะคะ,VACT,O,None,Sentence: 31
เชฟ,NCMN,O,END,Sentence: 31
โต๊ะ,NCMN,O,START,Sentence: 32
1,NCNM,B-TABLE,None,Sentence: 32
กะเพรา,CMTR,B-FOOD,None,Sentence: 32
หมูสับ,CNIT,I-FOOD,None,Sentence: 32
หนู,NCMN,O,None,Sentence: 32
เตรียม,VACT,B-COMMAND_1,None,Sentence: 32
ให้,JSBR,O,None,Sentence: 32
แล้ว,ADVN,O,None,Sentence: 32
นะคะ,VACT,O,None,Sentence: 32
เชฟ,NCMN,O,END,Sentence: 32
เชฟ,NCMN,O,START,Sentence: 33
ขา,NCMN,O,None,Sentence: 33
โต๊ะ,NCMN,O,None,Sentence: 33
4,NCNM,B-TABLE,None,Sentence: 33
กับ,RPRE,O,None,Sentence: 33
โต๊ะ,NCMN,O,None,Sentence: 33
3,NCNM,B-TABLE,None,Sentence: 33
เตรียม,VACT,B-COMMAND_1,None,Sentence: 33
ให้,JSBR,O,None,Sentence: 33
แล้ว,ADVN,O,None,Sentence: 33
นะคะ,VACT,O,None,Sentence: 33
เป็น,VSTA,O,None,Sentence: 33
กะเพรา,NCMN,B-FOOD,None,Sentence: 33
หมูสับ,NCMN,I-FOOD,None,Sentence: 33
ค่ะ,NCMN,O,END,Sentence: 33
หนู,NCMN,B-COMMAND_1,START,Sentence: 34
[COMMAND_1],NCMN,I-COMMAND_1,None,Sentence: 34
เตรียม,VACT,I-COMMAND_1,None,Sentence: 34
ไป,XVAE,O,None,Sentence: 34
แล้ว,XVAE,O,None,Sentence: 34
คะ,NCMN,O,None,Sentence: 34
ของ,RPRE,O,None,Sentence: 34
โต๊ะ,NCMN,O,None,Sentence: 34
3,NCNM,B-TABLE,None,Sentence: 34
กับ,RPRE,O,None,Sentence: 34
โต๊ะ,NCMN,O,None,Sentence: 34
4,NCNM,B-TABLE,None,Sentence: 34
เป็น,VSTA,O,None,Sentence: 34
กะเพรา,NCMN,B-FOOD,None,Sentence: 34
หมูสับ,NCMN,I-FOOD,END,Sentence: 34
ค่า,NCMN,O,START,Sentence: 35
เชฟ,NCMN,O,None,Sentence: 35
หนู,NCMN,B-COMMAND_1,None,Sentence: 35
[COMMAND_1],NCMN,I-COMMAND_1,None,Sentence: 35
เตรียม,VACT,I-COMMAND_1,None,Sentence: 35
ให้,JSBR,O,None,Sentence: 35
แล้ว,ADVN,O,None,Sentence: 35
ค่,VACT,O,None,Sentence: 35
กะเพรา,NCMN,B-FOOD,None,Sentence: 35
หมูสับ,NCMN,I-FOOD,None,Sentence: 35
ออเดอร์,NCMN,O,None,Sentence: 35
ของ,RPRE,O,None,Sentence: 35
โต๊ะ,NCMN,O,None,Sentence: 35
3,NCNM,B-TABLE,None,Sentence: 35
กับ,RPRE,O,None,Sentence: 35
โต๊ะ,NCMN,O,None,Sentence: 35
4,NCNM,B-TABLE,END,Sentence: 35
เตรียม,VACT,B-COMMAND_1,START,Sentence: 36
ไว้,XVAE,O,None,Sentence: 36
แล้ว,XVAE,O,None,Sentence: 36
นะคะ,VACT,O,None,Sentence: 36
กะเพรา,NCMN,B-FOOD,None,Sentence: 36
หมูสับ,NCMN,I-FOOD,None,Sentence: 36
ของ,RPRE,O,None,Sentence: 36
โต๊ะ,NCMN,O,None,Sentence: 36
6,NCNM,B-TABLE,None,Sentence: 36
ค่ะ,NCMN,O,END,Sentence: 36
กะเพรา,NCMN,B-FOOD,START,Sentence: 37
หมูสับ,NCMN,I-FOOD,None,Sentence: 37
กระ,NCMN,O,None,Sentence: 37
เพรา,NCMN,O,None,Sentence: 37
หมูสับ,NCMN,O,None,Sentence: 37
เตรียม,VACT,B-COMMAND_1,None,Sentence: 37
ให้,JSBR,O,None,Sentence: 37
แล้ว,ADVN,O,None,Sentence: 37
นะคะ,VACT,O,None,Sentence: 37
โต๊ะ,NCMN,O,None,Sentence: 37
3,NCNM,B-TABLE,END,Sentence: 37
โต๊ะ,NCMN,O,START,Sentence: 38
3,NCNM,B-TABLE,None,Sentence: 38
กับ,RPRE,O,None,Sentence: 38
โต๊ะ,NCMN,O,None,Sentence: 38
4,NCNM,B-TABLE,None,Sentence: 38
เตรียม,VACT,B-COMMAND_1,None,Sentence: 38
ให้,JSBR,O,None,Sentence: 38
แล้ว,ADVN,O,None,Sentence: 38
นะคะ,VACT,O,None,Sentence: 38
กะเพรา,NCMN,B-FOOD,None,Sentence: 38
หมูสับ,NCMN,I-FOOD,END,Sentence: 38
หนู,NCMN,B-COMMAND_1,START,Sentence: 39
[COMMAND_1],NCMN,I-COMMAND_1,None,Sentence: 39
เตรียม,VACT,I-COMMAND_1,None,Sentence: 39
ให้,JSBR,O,None,Sentence: 39
แล้ว,ADVN,O,None,Sentence: 39
นะคะ,VACT,O,None,Sentence: 39
และ,JCRG,O,None,Sentence: 39
กระ,VACT,B-FOOD,None,Sentence: 39
เพรา,NCMN,I-FOOD,None,Sentence: 39
หมูสับ,NCMN,I-FOOD,None,Sentence: 39
โต๊ะ,NCMN,O,None,Sentence: 39
5,NCNM,B-TABLE,END,Sentence: 39
เตรียม,VACT,B-COMMAND_1,START,Sentence: 40
ไว้,XVAE,O,None,Sentence: 40
แล้ว,XVAE,O,None,Sentence: 40
นะคะ,PDMN,O,None,Sentence: 40
ของ,RPRE,O,None,Sentence: 40
โต๊ะ,NCMN,O,None,Sentence: 40
4,NCNM,B-TABLE,None,Sentence: 40
กับ,RPRE,O,None,Sentence: 40
โต๊ะ,NCMN,O,None,Sentence: 40
3,NCNM,B-TABLE,None,Sentence: 40
ที่,PREL,O,None,Sentence: 40
สั่ง,VACT,O,None,Sentence: 40
เป็น,VSTA,O,None,Sentence: 40
กะเพรา,NCMN,B-FOOD,None,Sentence: 40
หมูสับ,NCMN,I-FOOD,None,Sentence: 40
ไม่,NEG,O,None,Sentence: 40
เผ็ด,VSTA,O,END,Sentence: 40
ออร์เดอร์,NCMN,O,START,Sentence: 41
ของ,RPRE,O,None,Sentence: 41
โต๊ะ,NCMN,O,None,Sentence: 41
1,NCNM,B-TABLE,None,Sentence: 41
แล้วก็,RPRE,O,None,Sentence: 41
โต๊ะ,NCMN,O,None,Sentence: 41
3,DCNM,B-TABLE,None,Sentence: 41
กะเพรา,NCMN,B-FOOD,None,Sentence: 41
หมูสับ,CNIT,I-FOOD,None,Sentence: 41
เตรียม,VACT,B-COMMAND_1,None,Sentence: 41
ให้,JSBR,B-QUESTION,None,Sentence: 41
รึ,NCMN,I-QUESTION,None,Sentence: 41
ยัง,XVBM,I-QUESTION,None,Sentence: 41
อ่ะ,ADVP,O,END,Sentence: 41
กะเพรา,NCMN,B-FOOD,START,Sentence: 42
หมูสับ,NCMN,I-FOOD,None,Sentence: 42
โต๊ะ,NCMN,O,None,Sentence: 42
5,NCNM,B-TABLE,None,Sentence: 42
เตรียม,VACT,B-COMMAND_1,None,Sentence: 42
ให้,JSBR,B-QUESTION,None,Sentence: 42
ยัง,XVBM,I-QUESTION,END,Sentence: 42
เตรียม,VACT,B-COMMAND_1,START,Sentence: 43
ให้,JSBR,B-QUESTION,None,Sentence: 43
ยัง,XVBM,I-QUESTION,None,Sentence: 43
โต๊ะ,NCMN,O,None,Sentence: 43
9,NCNM,B-TABLE,None,Sentence: 43
กะเพรา,CMTR,B-FOOD,None,Sentence: 43
หมูสับ,CNIT,I-FOOD,END,Sentence: 43
เตรียม,VACT,B-COMMAND_1,START,Sentence: 44
ไว้,XVAE,B-QUESTION,None,Sentence: 44
แล้ว,XVAE,I-QUESTION,None,Sentence: 44
ใช่ไหม,VACT,I-QUESTION,None,Sentence: 44
กะเพรา,NCMN,B-FOOD,None,Sentence: 44
หมูสับ,NCMN,I-FOOD,None,Sentence: 44
โต๊ะ,NCMN,O,None,Sentence: 44
1,NCNM,B-TABLE,None,Sentence: 44
ที่,PREL,O,None,Sentence: 44
ไม่,NEG,O,None,Sentence: 44
เผ็ด,VACT,O,END,Sentence: 44
มี,VSTA,O,START,Sentence: 45
ใคร,PNTR,O,None,Sentence: 45
เตรียม,VACT,B-COMMAND_1,None,Sentence: 45
แล้ว,XVAE,B-QUESTION,None,Sentence: 45
หรือยัง,EITT,I-QUESTION,None,Sentence: 45
กะเพรา,NCMN,B-FOOD,None,Sentence: 45
หมูสับ,NCMN,I-FOOD,None,Sentence: 45
ของ,RPRE,O,None,Sentence: 45
ออเดอร์,NCMN,O,None,Sentence: 45
โต๊ะ,NCMN,O,None,Sentence: 45
3,NCNM,B-TABLE,END,Sentence: 45
มี,VSTA,O,START,Sentence: 46
ใคร,PNTR,O,None,Sentence: 46
เตรียม,VACT,B-COMMAND_1,None,Sentence: 46
ออเดอร์,NCMN,O,None,Sentence: 46
ของ,RPRE,O,None,Sentence: 46
โต๊ะ,NCMN,O,None,Sentence: 46
4,DCNM,B-TABLE,None,Sentence: 46
ที่,PREL,O,None,Sentence: 46
สั่ง,VACT,O,None,Sentence: 46
เป็น,VSTA,O,None,Sentence: 46
กะเพรา,NCMN,B-FOOD,None,Sentence: 46
หมูสับ,NCMN,I-FOOD,None,Sentence: 46
ให้,JSBR,B-QUESTION,None,Sentence: 46
ผม,PPRS,I-QUESTION,None,Sentence: 46
หรือยัง,EITT,I-QUESTION,END,Sentence: 46
เตรียม,VACT,B-COMMAND_1,START,Sentence: 47
ให้,JSBR,B-QUESTION,None,Sentence: 47
ยัง,XVBM,I-QUESTION,None,Sentence: 47
ครับ,VACT,O,None,Sentence: 47
เพรา,NCMN,B-FOOD,None,Sentence: 47
หมูสับ,NCMN,I-FOOD,None,Sentence: 47
โต๊ะ,NCMN,O,None,Sentence: 47
4,NCNM,B-TABLE,END,Sentence: 47
โต๊ะ,NCMN,O,START,Sentence: 48
4,NCNM,B-TABLE,None,Sentence: 48
ที่,PREL,O,None,Sentence: 48
เป็น,VSTA,O,None,Sentence: 48
กะเพรา,NCMN,B-FOOD,None,Sentence: 48
หมูสับ,NCMN,I-FOOD,None,Sentence: 48
ไม่,NEG,O,None,Sentence: 48
เผ็ด,VSTA,O,None,Sentence: 48
เตรียม,VACT,B-COMMAND_1,None,Sentence: 48
ให้,JSBR,B-QUESTION,None,Sentence: 48
ยัง,XVBM,I-QUESTION,None,Sentence: 48
ครับ,VACT,O,END,Sentence: 48
ข้าวผัด,NCMN,B-FOOD,START,Sentence: 49
กุ้ง,NCMN,I-FOOD,None,Sentence: 49
โต๊ะ,NCMN,O,None,Sentence: 49
2,NCNM,B-TABLE,None,Sentence: 49
ผม,PPRS,O,None,Sentence: 49
เตรียม,VACT,B-COMMAND_1,None,Sentence: 49
ให้,JSBR,O,None,Sentence: 49
แล้ว,ADVN,O,None,Sentence: 49
ครับ,VACT,O,END,Sentence: 49
ผม,PPRS,O,START,Sentence: 50
เตรียม,VACT,B-COMMAND_1,None,Sentence: 50
ให้,JSBR,O,None,Sentence: 50
แล้ว,ADVN,O,None,Sentence: 50
ครับ,VACT,O,None,Sentence: 50
ข้าวผัด,NCMN,B-FOOD,None,Sentence: 50
กุ้ง,NCMN,I-FOOD,None,Sentence: 50
โต๊ะ,NCMN,O,None,Sentence: 50
4,NCNM,B-TABLE,END,Sentence: 50
ของ,RPRE,O,START,Sentence: 51
โต๊ะ,NCMN,O,None,Sentence: 51
